knob,param_name,factor,value,t_end_h,V_mean,energy_Vh,runtime_s
Neg particle radius,Negative particle radius [m],0.8,4.688e-06,0.4679289597900592,3.7452645925330015,1.5675178624024695,0.40938329696655273
Neg particle radius,Negative particle radius [m],1.0,5.86e-06,0.4608391795144517,3.734107991286295,1.540354651049904,0.4233384132385254
Neg particle radius,Negative particle radius [m],1.2,7.032e-06,0.4525915585428365,3.724561521301291,1.5100295822384142,0.4043080806732178
Neg porosity,Negative electrode porosity,0.8,0.2,0.45517435344761314,3.706839537637439,1.505011351944723,0.38377952575683594
Neg porosity,Negative electrode porosity,1.0,0.25,0.4608391795144517,3.734107991286295,1.540354651049904,0.4223978519439697
Neg porosity,Negative electrode porosity,1.2,0.3,0.46355130335138534,3.7424616852945785,1.5593797661293305,0.4064176082611084
Neg thickness,Negative electrode thickness [m],0.8,6.816e-05,0.3738315181997565,3.757813179400104,1.2720336641981984,0.5654952526092529
Neg thickness,Negative electrode thickness [m],1.0,8.52e-05,0.4608391795144517,3.734107991286295,1.540354651049904,0.45233750343322754
Neg thickness,Negative electrode thickness [m],1.2,0.00010224,0.5115159555503668,3.7040264306297233,1.6788020350972785,0.3944385051727295
Pos particle radius,Positive particle radius [m],0.8,4.176e-06,0.46705630078139426,3.74965784477733,1.5820863548898423,0.3933730125427246
Pos particle radius,Positive particle radius [m],1.0,5.22e-06,0.4608391795144517,3.734107991286295,1.540354651049904,0.4132990837097168
Pos particle radius,Positive particle radius [m],1.2,6.264e-06,0.4483429053100444,3.697115022956354,1.4817206483261929,0.4222540855407715
Pos porosity,Positive electrode porosity,0.8,0.268,0.3277579553568223,3.560179793837307,0.9890694117796044,0.42147207260131836
Pos porosity,Positive electrode porosity,1.0,0.335,0.4608391795144517,3.734107991286295,1.540354651049904,0.45087623596191406
Pos porosity,Positive electrode porosity,1.2,0.402,0.46332163269964016,3.7201468723318896,1.5576490730843207,0.4163088798522949
Pos thickness,Positive electrode thickness [m],0.8,6.048e-05,0.3851339378329519,3.7027207753309557,1.2843773322093752,0.4254639148712158
Pos thickness,Positive electrode thickness [m],1.0,7.56e-05,0.4608391795144517,3.734107991286295,1.540354651049904,0.390397310256958
Pos thickness,Positive electrode thickness [m],1.2,9.071999999999999e-05,0.47047483518299915,3.7526840707467293,1.5954013505853417,0.42238926887512207
